2,1,PR-1,5,10,2024,15,10,2024,18,10,2024,1
4,2,OR-3,8,10,2024,10,10,2024,0,0,0,0
6,3,PR-5,10,10,2024,12,10,2024,20,10,2024,1
8,4,OR-7,3,10,2024,5,10,2024,0,0,0,0
10,1,PR-3,12,10,2024,14,10,2024,14,10,2024,1
12,5,OR-1,1,10,2024,3,10,2024,0,0,0,0
14,2,PR-2,6,10,2024,8,10,2024,10,10,2024,1
16,6,OR-5,9,10,2024,11,10,2024,0,0,0,0
18,3,PR-4,2,10,2024,4,10,2024,5,10,2024,1
20,7,OR-9,7,10,2024,9,10,2024,0,0,0,0
22,4,PR-6,11,10,2024,13,10,2024,15,10,2024,1
24,8,OR-11,4,10,2024,6,10,2024,0,0,0,0
26,2,OR-3,15,5,2026,17,5,2026,1,1,2026,0
28,1,OR-2,15,5,2026,17,5,2026,15,5,2026,1
30,1,PR-3,15,5,2026,17,5,2026,1,1,2026,0
32,12,OR-8,15,5,2026,29,5,2026,1,1,2026,0
34,2,OR-7,16,5,2026,30,5,2026,16,5,2026,1
36,2,OR-1,16,5,2026,30,5,2026,1,1,2026,0
38,2,PR-1,16,5,2026,18,5,2026,1,1,2026,0
